	Organism	proteinID	GCX_id
0	Acaryochloris marina MBIC11017	WP_012166727.1	GCF_000018105.1
1	Acidobacteria bacterium	RMH16883.1	GCA_003697015.1
2	Acidobacteria bacterium	PYT36116.1	GCA_003223075.1
3	Acidobacteria bacterium	PYT33732.1	GCA_003223075.1
4	Acidobacteria bacterium	PYQ38222.1	GCA_003222295.1
5	Acidobacteriia bacterium AA117	PYP93107.1	GCA_003223515.1
6	Actinobacteria bacterium	TMM41015.1	GCA_005885555.1
7	Actinomadura fibrosa	WP_131759925.1	GCF_900659615.1
8	Actinomadura madurae	SFO58424.1	GCA_900115095.1
9	Actinomadura madurae	SPT57320.1	GCA_900445005.1
10	Actinomadura rubrobrunea NBRC 15275	WP_067914067.1	GCF_003001795.1
11	Actinomadura sp. NEAU-AAG5	WP_156218292.1	GCF_009733595.1
12	Actinophytocola sp.	MPZ79311.1	GCA_009379765.1
13	Agarilytica rhodophyticola	WP_086934286.1	GCF_002157225.2
14	Alphaproteobacteria bacterium	PZN93824.1	GCA_003241875.1
15	Amycolatopsis azurea DSM 43854	WP_005151648.1	GCF_001995215.1
16	Amycolatopsis decaplanina DSM 44594	WP_007030384.1	GCF_000342005.1
17	Amycolatopsis japonica DSM 44213	WP_038515031.1	GCF_000732925.1
18	Amycolatopsis keratiniphila	WP_043848779.1	GCF_000400635.2
19	Amycolatopsis keratiniphila DSM 44409	WP_063273420.1	GCF_001620365.2
20	Amycolatopsis keratiniphila FH 1893	WP_072030953.1	GCF_900105855.1
21	Amycolatopsis keratiniphila	AGM05849.1	GCA_000400635.2
22	Amycolatopsis lexingtonensis	WP_086857215.1	GCF_002156005.1
23	Amycolatopsis lurida	WP_034307986.1	GCF_900105055.1
24	Amycolatopsis marina	SFB44039.1	GCA_900111885.1
25	Amycolatopsis orientalis DSM 40040 = KCTC 9412 strain KCTC 9412T	WP_037305944.1	GCF_000478275.1
26	Amycolatopsis orientalis strain B-37	WP_044850591.1	GCF_000943515.2
27	Amycolatopsis regifaucium	WP_061980984.1	GCF_001558125.2
28	Amycolatopsis sp. BJA-103	WP_101607236.1	GCF_002890695.1
29	Amycolatopsis sp. CB00013	WP_073844467.1	GCF_001905755.1
30	Amycolatopsis sp. GLM-1	WP_125316201.1	GCF_003937945.1
31	Amycolatopsis sp. MJM2582	WP_037348399.1	GCF_000754115.1
32	Amycolatopsis sp. SID8362	WP_160698423.1	GCF_010550475.1
33	Amycolatopsis sp. WAC 01375	WP_125781319.1	GCF_003947325.1
34	Amycolatopsis sp. WAC 01376	WP_125794583.1	GCF_003947415.1
35	Amycolatopsis sp. WAC 01416	WP_125798801.1	GCF_003947485.1
36	Amycolatopsis sp. WAC 04169	WP_125690918.1	GCF_003947535.1
37	Amycolatopsis sp. WAC 04182	WP_125682930.1	GCF_003947465.1
38	Amycolatopsis sp. WAC 04197	WP_125737640.1	GCF_003947475.1
